Weather_ID,temperature,dew_point,humidity,wind_speed,wind_direction_degrees,wind_direction,visibility,pressure,weather_condition,fog,rain,snow,hail,thunder,tornado,weather_date,weather_time
137,48,42.1,80,0,0,North,10,30.23,Overcast,No,No,No,No,No,No,1/5/2016,11:16:00
138,48,43,83,4.6,0,Variable,10,30.23,Overcast,No,No,No,No,No,No,1/5/2016,11:23:00
139,46.9,43,86,8.1,160,SSE,2.5,30.19,Light Rain,No,Yes,No,No,No,No,1/5/2016,11:51:00
140,46.9,43,86,5.8,0,Variable,5,30.21,Light Rain,No,Yes,No,No,No,No,1/5/2016,11:59:00
141,46.9,43,86,,0,North,7,30.17,Light Rain,No,Yes,No,No,No,No,1/5/2016,12:51:00
142,46.9,42.1,83,8.1,160,SSE,10,30.19,Overcast,No,No,No,No,No,No,1/5/2016,13:25:00
143,48,43,83,5.8,0,Variable,10,30.16,Overcast,No,No,No,No,No,No,1/5/2016,13:51:00
144,48,43,83,3.5,0,Variable,10,30.17,Overcast,No,No,No,No,No,No,1/5/2016,14:04:00
145,48,42.1,80,5.8,0,Variable,10,30.15,Overcast,No,No,No,No,No,No,1/5/2016,14:51:00
146,48.9,41,74,3.5,0,Variable,10,30.14,Overcast,No,No,No,No,No,No,1/5/2016,15:51:00
147,48,43,83,5.8,0,Variable,7,30.12,Light Rain,No,Yes,No,No,No,No,1/5/2016,16:51:00
148,48,43,83,6.9,100,East,7,30.14,Light Rain,No,Yes,No,No,No,No,1/5/2016,16:59:00
149,48.2,44.6,87,6.9,70,ENE,2,30.13,Light Rain,No,Yes,No,No,No,No,1/5/2016,17:49:00
150,48,45,89,5.8,0,Variable,2,30.11,Light Rain,No,Yes,No,No,No,No,1/5/2016,17:51:00
151,48,45,89,5.8,60,ENE,4,30.13,Overcast,No,No,No,No,No,No,1/5/2016,18:09:00
152,48,46,93,4.6,80,East,2,30.13,Overcast,No,No,No,No,No,No,1/5/2016,18:21:00
153,48,45,89,8.1,70,ENE,1.8,30.13,Overcast,No,No,No,No,No,No,1/5/2016,18:35:00
154,46.9,45,93,9.2,70,ENE,1.8,30.1,Overcast,No,No,No,No,No,No,1/5/2016,18:51:00
155,46.9,45,93,4.6,0,Variable,2,30.12,Overcast,No,No,No,No,No,No,1/5/2016,19:15:00
156,46.9,45,93,11.5,70,ENE,1.5,30.12,Overcast,No,No,No,No,No,No,1/5/2016,19:29:00
157,46.9,45,93,9.2,70,ENE,3,30.12,Overcast,No,No,No,No,No,No,1/5/2016,19:39:00
158,46.4,44.6,93,9.2,60,ENE,2.5,30.13,Overcast,No,No,No,No,No,No,1/5/2016,19:47:00
159,46.9,44.1,90,9.2,60,ENE,3,30.11,Overcast,No,No,No,No,No,No,1/5/2016,19:51:00
160,45,42.1,90,9.2,80,East,6,30.11,Overcast,No,No,No,No,No,No,1/5/2016,20:51:00
161,45,42.1,90,6.9,0,Variable,8,30.09,Overcast,No,No,No,No,No,No,1/5/2016,21:51:00
162,45,42.1,90,5.8,0,Variable,9,30.09,Overcast,No,No,No,No,No,No,1/5/2016,22:51:00
163,46,44.1,93,0,0,North,3,30.09,Overcast,No,No,No,No,No,No,1/5/2016,23:51:00
164,73,64.9,76,0,0,North,8,29.99,Clear,No,No,No,No,No,No,1/6/2016,0:51:00
165,72,64.9,78,3.5,40,NE,7,29.99,Clear,No,No,No,No,No,No,1/6/2016,1:51:00
166,70,62.1,76,8.1,70,ENE,8,30.01,Clear,No,No,No,No,No,No,1/6/2016,2:51:00
167,71.1,53.1,53,4.6,80,East,10,30.01,Clear,No,No,No,No,No,No,1/6/2016,3:51:00
168,71.1,50,47,3.5,50,NE,10,30.03,Clear,No,No,No,No,No,No,1/6/2016,4:51:00
169,70,52,53,3.5,0,Variable,8,30.05,Clear,No,No,No,No,No,No,1/6/2016,5:51:00
170,72,48,43,5.8,60,ENE,9,30.06,Partly Cloudy,No,No,No,No,No,No,1/6/2016,6:51:00
171,73,50,44,0,0,North,9,30.08,Partly Cloudy,No,No,No,No,No,No,1/6/2016,7:51:00
172,75,48.9,40,4.6,0,Variable,9,30.09,Clear,No,No,No,No,No,No,1/6/2016,8:51:00
173,77,48,36,6.9,70,ENE,9,30.09,Clear,No,No,No,No,No,No,1/6/2016,9:51:00
174,77,48,36,10.4,120,ESE,8,30.09,Clear,No,No,No,No,No,No,1/6/2016,10:51:00
175,79,48,34,9.2,70,ENE,8,30.1,Clear,No,No,No,No,No,No,1/6/2016,11:51:00
176,80.1,50,35,9.2,70,ENE,8,30.09,Clear,No,No,No,No,No,No,1/6/2016,12:51:00
177,80.1,50,35,5.8,0,Variable,8,30.09,Clear,No,No,No,No,No,No,1/6/2016,13:51:00
178,82,50,33,9.2,90,East,8,30.09,Partly Cloudy,No,No,No,No,No,No,1/6/2016,14:51:00
179,81,48,31,9.2,60,ENE,8,30.09,Scattered Clouds,No,No,No,No,No,No,1/6/2016,15:51:00
180,80.1,54,40,8.1,60,ENE,8,30.09,Scattered Clouds,No,No,No,No,No,No,1/6/2016,16:51:00
181,78.1,54,43,8.1,150,SSE,8,30.08,Clear,No,No,No,No,No,No,1/6/2016,17:51:00
182,75.9,54,46,,0,North,8,30.1,Clear,No,No,No,No,No,No,1/6/2016,18:51:00
183,75,53.1,46,,0,North,8,30.1,Clear,No,No,No,No,No,No,1/6/2016,19:51:00
184,71.1,52,51,3.5,140,SE,9,30.13,Clear,No,No,No,No,No,No,1/6/2016,20:51:00
185,70,52,53,3.5,0,Variable,9,30.14,Clear,No,No,No,No,No,No,1/6/2016,21:51:00
186,68,52,56,5.8,0,Variable,9,30.15,Clear,No,No,No,No,No,No,1/6/2016,22:51:00
187,66.9,53.1,61,4.6,60,ENE,9,30.16,Clear,No,No,No,No,No,No,1/6/2016,23:51:00
188,73.9,60.1,62,4.6,0,Variable,10,30.02,Clear,No,No,No,No,No,No,1/7/2016,0:51:00
189,73.9,60.1,62,3.5,0,Variable,10,30.02,Clear,No,No,No,No,No,No,1/7/2016,1:51:00
190,73,55.9,55,0,0,North,10,30.01,Clear,No,No,No,No,No,No,1/7/2016,2:51:00
191,72,55.9,57,4.6,0,Variable,10,30.01,Clear,No,No,No,No,No,No,1/7/2016,3:51:00
192,71.1,57,61,3.5,0,Variable,10,30.01,Clear,No,No,No,No,No,No,1/7/2016,4:51:00
193,71.1,60.1,68,0,0,North,9,30.01,Clear,No,No,No,No,No,No,1/7/2016,5:51:00
194,73,63,71,0,0,North,9,30.01,Clear,No,No,No,No,No,No,1/7/2016,6:51:00
195,73,64.9,76,0,0,North,8,30.01,Overcast,No,No,No,No,No,No,1/7/2016,7:51:00
196,75,66,73,5.8,170,South,8,30,Scattered Clouds,No,No,No,No,No,No,1/7/2016,8:51:00
197,77,66.9,71,4.6,0,Variable,8,29.99,Mostly Cloudy,No,No,No,No,No,No,1/7/2016,9:51:00
198,77,66.9,71,6.9,0,Variable,8,29.97,Mostly Cloudy,No,No,No,No,No,No,1/7/2016,10:51:00
199,77,68,74,6.9,180,South,8,29.97,Overcast,No,No,No,No,No,No,1/7/2016,11:51:00
200,78.1,68,71,5.8,0,Variable,9,29.98,Scattered Clouds,No,No,No,No,No,No,1/7/2016,12:36:00
201,78.1,68,71,6.9,160,SSE,9,29.95,Partly Cloudy,No,No,No,No,No,No,1/7/2016,12:51:00
202,78.1,68,71,9.2,180,South,9,29.98,Mostly Cloudy,No,No,No,No,No,No,1/7/2016,13:08:00
203,77,69.1,76,6.9,150,SSE,8,29.94,Overcast,No,No,No,No,No,No,1/7/2016,13:51:00
204,77,69.1,76,5.8,0,Variable,8,29.96,Overcast,No,No,No,No,No,No,1/7/2016,14:21:00
205,78.1,70,76,,0,North,8,29.9,Mostly Cloudy,No,No,No,No,No,No,1/7/2016,14:51:00
206,75,70,84,,0,North,4,29.89,Light Rain,No,Yes,No,No,No,No,1/7/2016,15:51:00
207,75,70,84,4.6,170,South,7,29.88,Scattered Clouds,No,No,No,No,No,No,1/7/2016,16:35:00
208,73.9,70,87,,0,North,7,29.88,Clear,No,No,No,No,No,No,1/7/2016,16:51:00
209,72,66.9,84,4.6,0,Variable,1.8,29.9,Light Rain,No,Yes,No,No,No,No,1/7/2016,17:34:00
