Weather_ID,Weather_Key 
8806,11/2/2016 16:51
8807,11/2/2016 17:51
8808,11/2/2016 18:51
8809,11/2/2016 19:51
8810,11/2/2016 20:51
8811,11/2/2016 21:51
8812,11/2/2016 22:51
8813,11/2/2016 23:51
8814,11/3/2016 0:51
8815,11/3/2016 1:25
8816,11/3/2016 1:51
8817,11/3/2016 2:51
8818,11/3/2016 3:19
8819,11/3/2016 3:26
8820,11/3/2016 3:37
8821,11/3/2016 3:44
8822,11/3/2016 3:51
8823,11/3/2016 4:51
8824,11/3/2016 5:51
8825,11/3/2016 6:51
8826,11/3/2016 7:51
8827,11/3/2016 8:51
8828,11/3/2016 9:51
8829,11/3/2016 10:51
8830,11/3/2016 11:51
8831,11/3/2016 12:51
8832,11/3/2016 13:51
8833,11/3/2016 14:51
8834,11/3/2016 15:51
8835,11/3/2016 16:51
8836,11/3/2016 17:51
8837,11/3/2016 18:51
8838,11/3/2016 19:51
8839,11/3/2016 20:51
8840,11/3/2016 21:51
8841,11/3/2016 22:51
8842,11/3/2016 23:51
8843,11/4/2016 0:51
8844,11/4/2016 1:51
8845,11/4/2016 2:51
8846,11/4/2016 3:51
8847,11/4/2016 4:51
8848,11/4/2016 5:51
8849,11/4/2016 6:51
8851,11/4/2016 7:51
8852,11/4/2016 8:51
8853,11/4/2016 9:51
8854,11/4/2016 10:51
8855,11/4/2016 11:51
8856,11/4/2016 12:51
8857,11/4/2016 13:51
8858,11/4/2016 14:51
8859,11/4/2016 15:51
8860,11/4/2016 16:51
8861,11/4/2016 17:51
8862,11/4/2016 18:51
8863,11/4/2016 19:51
8864,11/4/2016 20:51
8865,11/4/2016 21:51
8866,11/4/2016 22:51
8867,11/4/2016 23:51
8868,11/5/2016 0:51
8869,11/5/2016 1:51
8870,11/5/2016 2:51
8871,11/5/2016 3:51
8872,11/5/2016 4:51
8873,11/5/2016 5:51
8874,11/5/2016 6:51
8875,11/5/2016 7:51
8876,11/5/2016 8:51
8877,11/5/2016 9:51
8878,11/5/2016 10:51
8879,11/5/2016 11:51
8880,11/5/2016 12:51
8881,11/5/2016 13:51
8882,11/5/2016 14:51
8883,11/5/2016 15:51
8884,11/5/2016 16:51
8885,11/5/2016 17:51
8886,11/5/2016 18:51
8887,11/5/2016 19:51
8888,11/5/2016 20:51
8889,11/5/2016 21:51
8890,11/5/2016 22:51
8891,11/5/2016 23:51
8892,11/6/2016 0:51
8893,11/6/2016 1:15
8894,11/6/2016 1:51
8895,11/6/2016 2:51
8896,11/6/2016 3:51
8897,11/6/2016 4:51
8898,11/6/2016 5:51
8899,11/6/2016 6:51
8900,11/6/2016 7:51
8901,11/6/2016 8:51
8902,11/6/2016 9:51
8903,11/6/2016 10:51
8904,11/6/2016 11:51
8905,11/6/2016 12:51
8906,11/6/2016 13:51
8907,11/6/2016 14:51
8908,11/6/2016 15:51
8909,11/6/2016 16:51
8910,11/6/2016 17:51
8911,11/6/2016 18:51
8912,11/6/2016 19:51
8913,11/6/2016 20:51
